"tag_id","t_run","t_rear_type","pass_type_T_R","rel_huc","rel_site","rel_rkm","rel_age","MPG","MPG.bin","BYage0","SYage1","AYageT","adult_age","OceanAge","length","SYage1_DOY","LGR.flow.7d","LGR.temp.7d","NPGO.ONDJFM.T","NPGO.ONDJFM.T.AVG3"
"3D9.1BF1C42BD7",1,"W","ROR","17060105","LOSTIR","522.271.131.042.004","ParrAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2004","2005","2007",4,"2-Ocean",88,"97",38.4012857142857,7.68185714285714,-0.541,-0.216666666666666
"3D9.1BF1CA0897",1,"W","ROR","17060302","MEADOC","522.224.120.037.031.001","SmoltAboveLGR","Clearwater River","Clearwater and Salmon","2006","2007","2009",4,"2-Ocean",100,"116",47.2588571428571,9.30714285714286,0.925,1.125
"3D9.1BF0F21FFF",5,"W","ROR","17060209","SALTRP","522.303.103","SmoltAboveLGR","Lower Salmon River","Clearwater and Salmon","1999","2000","2003",5,"3-Ocean or greater",98,"110",101.254857142857,9.71428571428571,1.595,1.91866666666667
"384.3B239B56C2",1,"W","ROR","17060106","GRNTRP","522.271.002","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2012","2013","2015",4,"2-Ocean",131,"119",50.3888571428571,9.04685714285714,-0.445,-0.493666666666667
"3D9.1C2E042FD5",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2012","2013","2015",4,"2-Ocean",123,"121",54.7048571428571,9.63657142857143,-0.445,-0.493666666666667
"3D9.1BF2608988",1,"W","ROR","17060302","MEADOC","522.224.120.037.031.001","ParrAboveLGR","Clearwater River","Clearwater and Salmon","2007","2008","2011",5,"3-Ocean or greater",90,"133",91.5975714285714,10.1142857142857,0.753,1.04333333333333
"3D9.1BF25FE7DA",2,"W","ROR","17060208","JOHTRP","522.303.215.060.024.007","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2007","2008","2010",4,"2-Ocean",87,"132",89.5112857142857,10.1007142857143,1.452,1.04333333333333
"3D9.1BF1072E17",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",107,"152",88.5197142857143,12.9658571428571,1.595,1.91866666666667
"3D9.1BF0E7DD33",2,"W","ROR","17060102","IMNTRP","522.308.007","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","1999","2000","2003",5,"3-Ocean or greater",107,"107",93.6025714285714,9.678,1.595,1.91866666666667
"3DD.00777EF8E0",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2015","2016","2017",3,"1-Ocean",113,"111",97.2428571428571,9.753,-0.221,-1.339
